,circular,ratio_a,ratio_b,ratio_pitch,ratio_top_diameter,ratio_shear_modulus,n_longerons,n_storeys,twist_angle,twist_rate_total,ratio_brace_height,ratio_a_lig,ratio_b_lig,chirality_offset
317,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.940965422336012,0.0136189877670258,0.0218764778003096,0.2479121899232267
318,12.0,0.0066529222133526,0.0066595817951477,0.4593563266520459,0.1270451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
319,12.0,0.0093816536918869,0.0093910447366235,0.643416356857087,0.2189257754792734,0.3677,3.0,1.0,0.0,1.0864402495861478,,,,
320,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.5564862757921218,0.0119116735896095,0.0060158650539815,0.1993795651942491
321,12.0,0.006650120257155,0.0066567770341892,0.4674838346417291,0.1145451056249723,0.3677,3.0,1.0,0.0,2.1043310505097508,,,,
322,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.2353888170793652,0.0063451052522286,0.0100079434998333,-0.0328571029007435
323,12.0,0.006649659809724,0.0066563161258499,0.4674514665457601,0.1145451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
324,12.0,0.0135571709840809,0.0135707417258067,0.6829569472465664,0.3552537003716453,0.3677,3.0,1.0,0.0,0.666925713722495,,,,
325,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.2314354924485087,0.0085539308274164,0.0254068029113113,0.2630880463868379
326,12.0,0.0066571161746044,0.006663779954559,0.463630299223863,0.1270451056249723,0.3677,3.0,1.0,0.0,2.102845189487008,,,,
327,12.0,0.0121342629718737,0.0121464093812549,0.6243394022014634,0.3599143449867358,0.3677,3.0,1.0,0.0,0.6768135247728897,,,,
328,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.2390984110534191,0.0040763148134574,0.004789020255208,-0.1769903417676687
329,12.0,0.0066745444121865,0.0066812256378243,0.4652033223062968,0.1145451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
330,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.3255858476273715,0.003121895706281,0.0284750055409967,-0.0608292449265718
331,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.4805275321938096,0.0172189966449514,0.0184543919563293,-0.003952564112842
332,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.7196776306256651,0.0063862350489944,0.0156093848086893,-0.1503511067479848
333,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.8370673303492367,0.0034918175963684,0.0130673455484211,0.2334473507478833
334,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.8578821532428265,0.0017388578429818,0.0196507582068443,-0.1170153988525271
335,12.0,0.006657557465775,0.0066642216874625,0.4680066484661797,0.1270451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
336,12.0,0.0066717051941341,0.0066783835777118,0.4606532125585213,0.1145451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
337,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.097534932103008,0.0191374980630353,0.0128089045584201,-0.0543114479631185
338,12.0,0.0066700081603553,0.0066766848452005,0.4688818955626627,0.1181418757459427,0.3677,3.0,1.0,0.0,2.109914933694052,,,,
339,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.2269631662406027,0.0166386008579283,0.018877846006304,0.0517585376277566
340,12.0,0.0101185620097903,0.0101286907004908,0.6829569472465664,0.4985476282108651,0.3677,3.0,1.0,0.0,0.2512785313325084,,,,
341,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.2357194798067212,0.002495409133844,0.01729459996894,0.2862211223691701
342,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.2044228137470781,0.0061044075619429,0.015920769136399,0.1866548890247941
343,12.0,0.0066761777706485,0.0066828606312798,0.4609620251753583,0.1145451056249723,0.3677,3.0,1.0,0.0,2.1076191941959337,,,,
344,12.0,0.0066641616175437,0.0066708324499937,0.4656559293608092,0.1270451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
345,12.0,0.0066734219074019,0.0066801020094113,0.4676772085034025,0.1145451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
346,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.3222898905165493,0.0132307154089212,0.0064155870750546,0.0943584892898797
347,12.0,0.0066725773203111,0.006679256576888,0.4658077720859515,0.122762356373663,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
